code,level,title,href,admin_path,parent_code,parent_title
1,1,1. Quản trị đơn vị,#,,,
1.1,2,1.1 Thông tin đơn vị,#/ld/unit-admin/cau-hinh-don-vi,,1,1. Quản trị đơn vị
1.1.1,3,1.1.1 Thông tin,/ld/unit-admin/cau-hinh-don-vi,/admin/ld/unit-admin/cau-hinh-don-vi,1.1,1.1 Thông tin đơn vị
1.1.2,3,1.1.2 Lịch sử đăng ký gói dịch vụ,/ld/unit-admin/lich-su-dang-ky-goi-dich-vu,/admin/ld/unit-admin/lich-su-dang-ky-goi-dich-vu,1.1,1.1 Thông tin đơn vị
1.2,2,1.2 Nhân sự,#/ld/unit-admin/quy-trinh-tac-nghiep,,1,1. Quản trị đơn vị
1.2.1,3,1. Danh sách nhân viên,/ld/unit-admin/danh-sach-nhan-vien,/admin/ld/unit-admin/danh-sach-nhan-vien,1.2,1.2 Nhân sự
1.2.2,3,2. Quản lý đội nhóm,/ld/unit-admin/quan-ly-doi-nhom,/admin/ld/unit-admin/quan-ly-doi-nhom,1.2,1.2 Nhân sự
1.2.3,3,3. Ca làm việc,/ld/unit-admin/ca-lam-viec,/admin/ld/unit-admin/ca-lam-viec,1.2,1.2 Nhân sự
1.2.4,3,4. Cấu hình chia số,/ld/unit-admin/danh-sach-cau-hinh-chia-so,/admin/ld/unit-admin/danh-sach-cau-hinh-chia-so,1.2,1.2 Nhân sự
1.2.5,3,5. Cấu hình tài khoản xem báo cáo,/ld/unit-admin/cau-hinh-bao-cao,/admin/ld/unit-admin/cau-hinh-bao-cao,1.2,1.2 Nhân sự
1.2.6,3,6. Cấu hình chia số care đơn,/ld/unit-admin/cau-hinh-chia-so-caredon,/admin/ld/unit-admin/cau-hinh-chia-so-caredon,1.2,1.2 Nhân sự
1.3,2,1.3 Sản phẩm,#,,1,1. Quản trị đơn vị
1.3.1,3,1. Danh sách sản phẩm,/ld/san-pham/danh-sach-san-pham,/admin/ld/san-pham/danh-sach-san-pham,1.3,1.3 Sản phẩm
1.3.2,3,2. Quản lý combo,/ld/san-pham/danh-sach-combo,/admin/ld/san-pham/danh-sach-combo,1.3,1.3 Sản phẩm
1.4,2,1.4 Kết nối giao hàng,/ld/unit-admin/cau-hinh-giao-hang?tid=0,/admin/ld/unit-admin/cau-hinh-giao-hang?tid=0,1,1. Quản trị đơn vị
1.5,2,1.5 Phân bổ data,/ld/unit-admin/redistribute-contact,/admin/ld/unit-admin/redistribute-contact,1,1. Quản trị đơn vị
1.6,2,1.6 Cấu hình chức năng,/ld/unit-admin/cau-hinh-chuc-nang,/admin/ld/unit-admin/cau-hinh-chuc-nang,1,1. Quản trị đơn vị
1.7,2,1.7 Bảo mật,#,,1,1. Quản trị đơn vị
1.7.1,3,1. Lịch sử đăng nhập,/nguoi-dung/lich-su-dang-nhap,/admin/nguoi-dung/lich-su-dang-nhap,1.7,1.7 Bảo mật
1.7.2,3,2. Quản lý đăng nhập,/nguoi-dung/quan-ly-dang-nhap,/admin/nguoi-dung/quan-ly-dang-nhap,1.7,1.7 Bảo mật
1.7.3,3,3. Lịch sử lọc data chốt đơn,/ld/unit-admin/lich-su-loc-data-chot-don,/admin/ld/unit-admin/lich-su-loc-data-chot-don,1.7,1.7 Bảo mật
1.8,2,1.8 Thiết lập quy trình sale,#,,1,1. Quản trị đơn vị
1.8.1,3,1. Khai báo danh mục tác nghiệp,/ld/unit-admin/danh-muc-tac-nghiep,/admin/ld/unit-admin/danh-muc-tac-nghiep,1.8,1.8 Thiết lập quy trình sale
1.8.2,3,2. Thiết lập luồng tác nghiệp,/ld/unit-admin/thiet-lap-tac-nghiep,/admin/ld/unit-admin/thiet-lap-tac-nghiep,1.8,1.8 Thiết lập quy trình sale
